username,email,dateofbirth,jobtype,dateofhire,password
andy,andy@hotmail.com,1958-09-22,IT,1981-12-20,1234
user1,user1@hotmail.com,1957-03-28,IT,1999-12-18,1234
user2,user2@hotmail.com,1986-12-15,Human Resource,2010-07-10,1234
user3,user3@hotmail.com,1990-02-22,Human Resource,2013-10-27,1234
user4,user4@hotmail.com,1988-02-23,Human Resource,2010-05-28,1234
user5,user5@hotmail.com,1954-04-09,IT,1992-04-18,1234
user6,user6@hotmail.com,1955-08-21,IT,1998-03-21,1234
user7,user7@hotmail.com,1955-12-27,IT,1986-02-02,1234
user8,user8@hotmail.com,1988-07-23,Human Resource,2014-09-14,1234
user9,user9@hotmail.com,1959-12-11,IT,1985-11-17,1234
user10,user10@hotmail.com,1997-11-25,Human Resource,2017-06-16,1234
user11,user11@hotmail.com,1959-12-22,IT,1988-01-23,1234
user12,user12@hotmail.com,1957-11-25,IT,1987-05-28,1234
user13,user13@hotmail.com,1980-09-26,Human Resource,2016-10-20,1234
user14,user14@hotmail.com,1957-06-24,IT,1982-07-13,1234
user15,user15@hotmail.com,1991-05-23,Human Resource,2013-08-18,1234
user16,user16@hotmail.com,1988-04-24,Human Resource,2012-05-14,1234
user17,user17@hotmail.com,1988-09-18,Human Resource,2014-10-17,1234
user18,user18@hotmail.com,1959-04-17,IT,1996-06-20,1234
user19,user19@hotmail.com,1999-01-14,Human Resource,2010-10-22,1234
user20,user20@hotmail.com,1954-06-04,IT,1990-10-15,1234
